time,elec
2019-01-22 0:00,3403.04
1:00:00,3527.936
2:00:00,3678.016
3:00:00,3695.488
4:00:00,3690.368
5:00:00,4018.176
6:00:00,4347.84
7:00:00,4896.384
8:00:00,5272.064
9:00:00,5050.176
10:00:00,4945.664
11:00:00,4853.504
12:00:00,4820.48
13:00:00,4878.656
14:00:00,4696.832
15:00:00,4747.904
16:00:00,4771.968
17:00:00,4831.616
18:00:00,4626.496
19:00:00,4351.68
20:00:00,3948.16
21:00:00,3627.904
22:00:00,2865.472
23:00:00,3153.792
2019-01-23 0:00,3516.544
1:00:00,3615.232
2:00:00,3560.576
3:00:00,3553.024
4:00:00,3618.24
5:00:00,4080.576
6:00:00,4296.96
7:00:00,4900.096
8:00:00,5148.288
9:00:00,5046.336
10:00:00,4879.36
11:00:00,4835.008
12:00:00,4714.816
13:00:00,4683.776
14:00:00,4679.936
15:00:00,4815.488
16:00:00,4808.32
17:00:00,4735.232
18:00:00,4649.28
19:00:00,4364.672
20:00:00,3955.648
21:00:00,3721.728
22:00:00,3427.648
23:00:00,3330.176
2019-01-24 0:00,3356.288
1:00:00,3563.392
2:00:00,3525.888
3:00:00,3538.816
4:00:00,3597.248
5:00:00,4077.824
6:00:00,4289.024
7:00:00,4851.648
8:00:00,5114.048
9:00:00,4990.848
10:00:00,4937.664
11:00:00,4809.472
12:00:00,4722.368
13:00:00,4749.056
14:00:00,4746.688
15:00:00,4848.576
16:00:00,4895.552
17:00:00,4923.072
18:00:00,4749.184
19:00:00,4473.024
20:00:00,4077.12
21:00:00,3781.504
22:00:00,3335.936
23:00:00,3219.968
2019-01-25 0:00,3437.952
1:00:00,3644.288
2:00:00,3741.184
3:00:00,3721.088
4:00:00,NULL
5:00:00,NULL
6:00:00,4354.112
7:00:00,4867.136
8:00:00,5178.24
9:00:00,5019.648
10:00:00,4999.168
11:00:00,4948.864
12:00:00,4963.008
13:00:00,4979.2
14:00:00,4911.296
15:00:00,4914.176
16:00:00,4754.432
17:00:00,4718.464
18:00:00,4530.112
19:00:00,4175.744
20:00:00,3775.808
21:00:00,3453.184
22:00:00,3256.896
23:00:00,3161.984
2019-01-26 0:00,3278.528
1:00:00,3314.496
2:00:00,3294.528
3:00:00,3351.04
4:00:00,3340.288
5:00:00,3354.368
6:00:00,3402.432
7:00:00,3342.656
8:00:00,3544.384
9:00:00,3451.264
10:00:00,3375.936
11:00:00,3274.176
12:00:00,3313.6
13:00:00,3319.488
14:00:00,3220.224
15:00:00,0
16:00:00,3413.948
17:00:00,3509.697
18:00:00,3366.993
19:00:00,3329.689
20:00:00,3122.641
21:00:00,3127.162
22:00:00,3050.732
23:00:00,3055.954
2019-01-27 0:00,3014.686
1:00:00,3045.632
2:00:00,3050.508
3:00:00,2972.192
4:00:00,3019.36
5:00:00,3078.18
6:00:00,3286.472
7:00:00,3305.744
8:00:00,3466.024
9:00:00,3421.732
10:00:00,3231.46
11:00:00,2970.436
12:00:00,2890.316
13:00:00,2583.104
14:00:00,2534.032
15:00:00,2663.728
16:00:00,2828.56
17:00:00,2891.072
18:00:00,3210.976
19:00:00,3413.336
20:00:00,3389.208
21:00:00,3373.36
22:00:00,2894.64
23:00:00,2584.288
